Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-4.52	0.419434	-4.52	-0.226
-4.42	0.419434	-4.42	-0.221
-4.32	0.412109	-4.32	-0.216
-4.22	0.390137	-4.22	-0.211
-4.12	0.372559	-4.12	-0.206
-4.02	0.341797	-4.02	-0.201
-3.92	0.331543	-3.92	-0.196
-3.82	0.322266	-3.82	-0.191
-3.72	0.302246	-3.72	-0.186
-3.62	0.282715	-3.62	-0.181
-3.52	0.253906	-3.52	-0.176
-3.42	0.231934	-3.42	-0.171
-3.32	0.222168	-3.32	-0.166
-3.22	0.212891	-3.22	-0.161
-3.12	0.220215	-3.12	-0.156
-3.02	0.220215	-3.02	-0.151
-2.92	0.240234	-2.92	-0.146
-2.82	0.224121	-2.82	-0.141
-2.72	0.231934	-2.72	-0.136
-2.62	0.236328	-2.62	-0.131
-2.52	0.236328	-2.52	-0.126
-2.42	0.208496	-2.42	-0.121
-2.32	0.169922	-2.32	-0.116
-2.22	0.101563	-2.22	-0.111
-2.12	0.0488281	-2.12	-0.106
-2.02	-0.0507813	-2.02	-0.101
-1.92	-0.132813	-1.92	-0.0959999
-1.82	-0.213379	-1.82	-0.0909998
-1.72	-0.267578	-1.72	-0.0859999
-1.62	-0.311035	-1.62	-0.0809998
-1.52	-0.334473	-1.52	-0.0759998
-1.42	-0.361816	-1.42	-0.0709999
-1.32	-0.367676	-1.32	-0.0659998
-1.22	-0.321289	-1.22	-0.0609999
-1.12	-0.30127	-1.12	-0.0559998
-1.02	-0.260742	-1.02	-0.0509998
-0.919998	-0.193848	-0.919998	-0.0459999
-0.819996	-0.108398	-0.819996	-0.0409998
-0.719997	-0.0356445	-0.719997	-0.0359999
-0.619995	0.104248	-0.619995	-0.0309998
-0.519997	0.222168	-0.519997	-0.0259998
-0.419998	0.26709	-0.419998	-0.0209999
-0.319996	0.394043	-0.319996	-0.0159998
-0.219997	0.468994	-0.219997	-0.0109999
-0.119995	1.56665	-0.119995	-5.99976e-3
-0.0199966	4.00781	-0.0199966	-9.99832e-4
0.0800018	5.90723	0.0800018	-4.132
0.18	4.0061	0.18	-4.11804
0.280006	1.34473	0.280006	-4.10407
0.380005	0.240479	0.380005	-4.09011
0.480003	-0.0915527	0.480003	-4.07614
0.580002	-0.167236	0.580002	-4.06218
0.68	0.0358887	0.68	-4.04821
0.780006	0.291748	0.780006	-4.03425
0.880005	0.476807	0.880005	-4.02029
0.980003	0.609375	0.980003	-4.00632
1.08	0.744385	1.08	-3.99236
1.18	0.937012	1.18	-3.9784
1.28001	1.06396	1.28001	-3.96443
1.38	1.14648	1.38	-3.95047
1.48	1.20313	1.48	-3.93651
1.58	1.25732	1.58	-3.92254
1.68	1.3374	1.68	-3.90858
1.78001	1.396	1.78001	-3.89462
1.88	1.47217	1.88	-3.88066
1.98	1.52441	1.98	-3.86669
2.08	1.57178	2.08	-3.85273
2.18	1.61279	2.18	-3.83877
2.28001	1.64209	2.28001	-3.82481
2.38	1.68066	2.38	-3.81085
2.48	1.70264	2.48	-3.79689
2.58	1.72217	2.58	-3.78292
2.68	1.7417	2.68	-3.76896
2.78001	1.75293	2.78001	-3.755
2.88	1.77295	2.88	-3.74104
2.98	1.79053	2.98	-3.72708
3.08	1.80225	3.08	-3.71312
3.18	1.81152	3.18	-3.69916
