Cycle: 8  CDAN1A-c206  39.0625 _X	Cycle: 8  CDAN1A-c206  39.0625 _Y	Cycle: 9  CDAN1A-c206  78.125 n_X	Cycle: 9  CDAN1A-c206  78.125 n_Y	Cycle: 10  CDAN1A-c206  156.25 _X	Cycle: 10  CDAN1A-c206  156.25 _Y	Cycle: 11  CDAN1A-c206  312.5 n_X	Cycle: 11  CDAN1A-c206  312.5 n_Y	Cycle: 12  CDAN1A-c206  625 nM_X	Cycle: 12  CDAN1A-c206  625 nM_Y
-40.82	-0.0262451	-40.82	-4.62341e-3	-40.82	-0.0259933	-40.82	-1.41907e-3	-40.82	0.0268555
-40.72	-0.0262451	-40.72	-4.62341e-3	-40.72	-0.0259933	-40.72	-1.41907e-3	-40.72	0.0366211
-40.62	-0.0164795	-40.62	0.0129547	-40.62	-0.0259941	-40.62	-1.41907e-3	-40.62	0.0366211
-40.52	-0.0340576	-40.52	-2.67029e-3	-40.52	-0.035759	-40.52	-0.0111847	-40.52	0.0268555
-40.42	-0.0360107	-40.42	-4.62341e-3	-40.42	-0.0357584	-40.42	-0.0111847	-40.42	0.0268555
-40.32	-0.0281982	-40.32	3.18909e-3	-40.32	-0.0279464	-40.32	-3.37219e-3	-40.32	0.034668
-40.22	-0.0262451	-40.22	0.0129547	-40.22	-0.0259933	-40.22	8.34656e-3	-40.22	0.0366211
-40.12	-0.0145264	-40.12	0.0149078	-40.12	-0.0259933	-40.12	8.34656e-3	-40.12	0.0366211
-40.02	-0.0145264	-40.02	0.0149078	-40.02	-0.0162277	-40.02	8.34656e-3	-40.02	0.0366211
-39.92	-0.0145264	-39.92	0.0149078	-39.92	-0.0259941	-39.92	8.34656e-3	-39.92	0.0366211
-39.82	-0.0321045	-39.82	5.14221e-3	-39.82	-0.0259933	-39.82	-1.41907e-3	-39.82	0.0268555
-39.72	-0.0340576	-39.72	5.14221e-3	-39.72	-0.0338058	-39.72	-1.41907e-3	-39.72	0.0268555
-39.62	-0.0340576	-39.62	-2.67029e-3	-39.62	-0.035759	-39.62	-9.23157e-3	-39.62	0.0268555
-39.52	-0.0340576	-39.52	3.18909e-3	-39.52	-0.0357587	-39.52	-0.0111847	-39.52	0.0366211
-39.42	-0.0164795	-39.42	0.0129547	-39.42	-0.0279463	-39.42	6.39343e-3	-39.42	0.0444336
