Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
3.74	1.86523	3.74	-0.487055
3.84	1.86646	3.84	-0.486246
3.94	1.86646	3.94	-0.485437
4.04	1.86646	4.04	-0.484629
4.14	1.87622	4.14	-0.483822
4.24	1.87817	4.24	-0.483015
4.34	1.88013	4.34	-0.482208
4.44	1.87817	4.44	-0.481402
4.54	1.88013	4.54	-0.480596
4.64	1.88867	4.64	-0.479791
4.74	1.89185	4.74	-0.478986
4.84	1.88989	4.84	-0.478182
4.94	1.89575	4.94	-0.477378
5.04	1.90161	5.04	-0.476575
5.14	1.89575	5.14	-0.475772
5.24	1.89771	5.24	-0.474969
5.34	1.89966	5.34	-0.474168
5.44	1.89453	5.44	-0.473366
5.54	1.90552	5.54	-0.472565
5.64	1.90552	5.64	-0.471765
