"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-1.078720	-2.617700					
-1.077720	-2.618190					
-1.076730	-2.627050					
-1.075740	-2.588060					
-1.074740	-2.600480					
-1.073750	-2.649620					
-1.072760	-2.647620					
-1.071770	-2.627210					
-1.070770	-2.615170					
-1.069780	-2.622890					
-1.068790	-2.632120					
-1.067800	-2.637520					
-1.066800	-2.665550					
-1.065810	-2.697680					
-1.064820	-2.714740					
-1.063830	-2.752920					
-1.062830	-2.807950					
-1.061840	-2.858980					
-1.060850	-2.910760					
-1.059850	-2.917080					
-1.058860	-2.889160					
-1.057870	-2.863780					
-1.056880	-2.868260					
-1.055880	-2.870800					
-1.054890	-2.871830					
-1.053900	-2.906710					
-1.052910	-2.912540					
-1.051910	-2.948940					
-1.050920	-3.007210					
-1.049930	-2.997590					
-1.048940	-2.997430					
-1.047940	-3.032050					
-1.046950	-3.046090					
-1.045960	-3.059100					
-1.044960	-3.075730					
-1.043970	-3.100900					
-1.042980	-3.147440					
-1.041990	-3.176500					
-1.040990	-3.195230					
-1.040000	-3.227740					
-1.039010	-3.195720					
-1.038020	-3.227310					
-1.037020	-3.225800					
-1.036030	-3.256520					
-1.035040	-3.305770					
-1.034050	-3.294320					
-1.033050	-3.323110					
-1.032060	-3.322350					
-1.031070	-3.343730					
-1.030070	-3.303130					
-1.029080	-3.325640					
-1.028090	-3.320680					
-1.027100	-3.340760					
-1.026100	-3.350650					
-1.025110	-3.428410					
-1.024120	-3.440020					
-1.023130	-3.375490					
-1.022130	-3.403300					
-1.021140	-3.415820					
-1.020150	-3.422740					
-1.019160	-3.438450					
-1.018160	-3.476680					
-1.017170	-3.506440					
-1.016180	-3.512270					
-1.015180	-3.533600					
-1.014190	-3.570260					
-1.013200	-3.573770					
-1.012210	-3.560170					
-1.011210	-3.568320					
-1.010220	-3.591430					
-1.009230	-3.630910					
-1.008240	-3.682310					
-1.007240	-3.710290					
-1.006250	-3.700890					
-1.005260	-3.703590					
-1.004270	-3.744040					
-1.003270	-3.730860					
-1.002280	-3.711960					
-1.001290	-3.701050					
-1.000290	-3.640790					
-0.999300	-3.581170					
-0.998310	-3.572210					
-0.997320	-3.548660					
-0.996320	-3.531550					
-0.995330	-3.496500					
-0.994340	-3.566210					
-0.993350	-3.544670					
-0.992350	-3.592350					
-0.991360	-3.570160					
-0.990370	-3.592620					
-0.989380	-3.588950					
-0.988380	-3.548230					
-0.987390	-3.513780					
-0.986400	-3.484780					
-0.985400	-3.468200					
-0.984410	-3.462100					
-0.983420	-3.426840					
-0.982430	-3.384020					
-0.981430	-3.337090					
-0.980440	-3.356750					
-0.979450	-3.398440					
-0.978460	-3.403510					
-0.977460	-3.407400					
-0.976470	-3.446550					
-0.975480	-3.444170					
-0.974490	-3.447310					
-0.973490	-3.489370					
-0.972500	-3.521450					
